Iteration,Latency (ns)
1,754116
2,517970
3,407449
4,503595
5,427240
6,577346
7,458230
8,450678
9,426042
10,412501
11,481980
12,443126
13,411147
14,353387
15,427241
16,1380056
17,717345
18,576928
19,657294
20,678231
21,654429
22,518908
23,520054
24,605470
25,478230
26,577918
27,601200
28,590210
29,486407
30,574637
31,689585
32,565314
33,477397
34,730418
35,643283
36,635627
37,587605
38,601720
39,638752
40,640210
41,661252
42,566459
43,543752
44,494845
45,464480
46,583960
47,496876
48,586928
49,517397
50,510730
51,693804
52,481928
53,531877
54,435209
55,575783
56,589637
57,564376
58,466252
59,437918
60,577710
61,608335
62,545939
63,518855
64,515158
65,443074
66,511147
67,466408
68,547502
69,446668
70,475626
71,645991
72,475210
73,428387
74,490678
75,519636
76,535470
77,464741
78,414584
79,537970
80,480574
81,601668
82,521511
83,529168
84,426564
85,541720
86,740107
87,546095
88,558543
89,520158
90,584585
91,696720
92,527293
93,553283
94,555730
95,580470
96,743544
97,619221
98,499793
99,593231
100,603126
