Iteration,Latency (ns)
1,5022140
2,5079276
3,5078130
4,5147765
5,5195525
6,5085473
7,5095265
8,5071254
9,5116202
10,5092296
11,5105943
12,5092973
13,5083598
14,5083963
15,5106724
16,5094379
17,5086880
18,5078702
19,5117661
20,5093755
21,5089119
22,5095109
23,5093390
24,5157192
25,5092921
26,5088026
27,5086931
28,5091515
29,5084171
30,5115108
31,5090057
32,5095890
33,5090994
34,5087036
35,5155526
36,5148286
37,5076775
38,5121827
39,5084015
40,5085473
41,5144327
42,5121879
43,5093390
44,5094796
45,5091306
46,5092713
47,5097088
48,5085577
49,5140056
50,5095734
51,5156463
52,5096776
53,5092140
54,5117296
55,5119276
56,5115942
57,5038963
58,5085734
59,5098025
60,5107297
61,5081671
62,5089588
63,5090733
64,5088025
65,5091567
66,5112244
67,5102244
68,5116307
69,5091880
70,5125161
71,5137609
72,5088546
73,5122557
74,5079380
75,5136463
76,5134015
77,5085629
78,5091619
79,5105265
80,5088546
81,5077660
82,5093234
83,5088651
84,5095109
85,5093442
86,5090786
87,5091254
88,5091306
89,5092296
90,5091150
91,5141932
92,5102922
93,5139120
94,5094015
95,5156619
96,5106150
97,5091047
98,5092192
99,5120109
100,5094849
