Iteration,Latency (ns)
1,4996776
2,5075474
3,5079693
4,5071411
5,5085214
6,5076932
7,5064641
8,5070630
9,5079797
10,5078026
11,5114120
12,5100005
13,5090995
14,5124380
15,5089693
16,5097766
17,5089276
18,5116620
19,5086672
20,5094276
21,5092401
22,5104850
23,5131880
24,5103912
25,5109380
26,5111255
27,5096672
28,5114172
29,5125058
30,5079641
31,5078130
32,5083027
33,5105005
34,5108026
35,5098807
36,5115787
37,5085734
38,5123495
39,5138027
40,5080110
41,5095318
42,5105213
43,5112141
44,5084172
45,5095474
46,5098495
47,5118391
48,5107246
49,5077818
50,5105371
51,5119329
52,5082141
53,5093547
54,5134172
55,5116828
56,5115631
57,5109120
58,5097610
59,5108287
60,5116776
61,5118807
62,5105891
63,5095943
64,5118339
65,5133912
66,5078443
67,5094745
68,5094849
69,5116099
70,5116829
71,5107922
72,5095630
73,5116777
74,5105735
75,5102401
76,5108860
77,5116047
78,5108339
79,5081047
80,5111932
81,5114485
82,5119537
83,5121151
84,5111152
85,5095578
86,5094381
87,5104276
88,5105162
89,5083130
90,5080839
91,5077870
92,5114120
93,5076828
94,5098599
95,5093964
96,5098495
97,5098339
98,5114745
99,5095579
100,5111620
