Iteration,Latency (ns)
1,1279271
2,902865
3,696510
4,783177
5,609375
6,867604
7,748855
8,852084
9,618022
10,673334
11,590574
12,649219
13,551979
14,656719
15,588646
16,662396
17,607708
18,665886
19,685521
20,720938
21,578282
22,656354
23,570417
24,635156
25,539792
26,707553
27,657605
28,682917
29,555365
30,793594
31,607344
32,660260
33,634584
34,730573
35,687292
36,682709
37,602448
38,660625
39,655313
40,695730
41,608906
42,710053
43,569948
44,705574
45,645261
46,1003126
47,616615
48,677448
49,623021
50,694219
51,584688
52,791198
53,633594
54,697501
55,598334
56,759948
57,594584
58,717917
59,599948
60,681199
61,585990
62,677708
63,597240
64,657709
65,725261
66,863281
67,615156
68,670833
69,598958
70,685573
71,576146
72,662761
73,574428
74,667969
75,650573
76,741458
77,615156
78,945417
79,650626
80,772396
81,677136
82,673230
83,574427
84,702031
85,776980
86,696927
87,577604
88,668646
89,580417
90,734479
91,643646
92,676719
93,580209
94,735208
95,633177
96,694167
97,589949
98,672969
99,573021
100,662761
