Iteration,Latency (ns)
1,964375
2,671406
3,469115
4,497813
5,421875
6,477760
7,414844
8,532448
9,415208
10,567604
11,588282
12,626251
13,517188
14,573073
15,429427
16,592136
17,475521
18,497083
19,413542
20,683021
21,469115
22,527187
23,536146
24,530834
25,424636
26,576302
27,454635
28,497448
29,445677
30,486615
31,401928
32,471302
33,398230
34,495313
35,412969
36,493021
37,515469
38,521614
39,446563
40,563646
41,436303
42,477761
43,402761
44,633178
45,447813
46,496823
47,500208
48,546458
49,457344
50,487448
51,421199
52,576251
53,441250
54,479115
55,400573
56,492605
57,404375
58,460209
59,425261
60,544688
61,473490
62,551355
63,408333
64,462240
65,400885
66,469688
67,392657
68,457865
69,562656
70,545104
71,432605
72,480417
73,402657
74,452969
75,408281
76,487448
77,516407
78,550157
79,436042
80,484896
81,409011
82,463438
83,392656
84,481354
85,413334
86,460833
87,394791
88,597188
89,490521
90,567865
91,453021
92,497552
93,402865
94,460416
95,614792
96,565000
97,427552
98,517501
99,418855
100,503230
